seed,loss_total,loss_speed,loss_direction,speed_mae,direction_angle_deg,speed_accuracy,direction_accuracy,joint_accuracy
seed_1,0.06895964960649235,0.06895962923321117,2.0429336292193874e-08,0.09941130785936345,0.0035455594698625592,0.9124012366884232,0.9893507385778083,0.9124012366884232
seed_2,0.04623328939199253,0.04623328552209289,4.127163572156541e-09,0.07970964384167024,0.0009814745147319972,0.923394022672621,0.9893507385778083,0.923394022672621
seed_3,0.09285254057222285,0.0928519854873319,5.553358060354531e-07,0.10323949880470569,0.036674282899717005,0.9223634489866025,0.9893507385778083,0.9223634489866025
seed_4,0.04764335618518505,0.04764334100248354,1.5517359964165032e-08,0.08180200600083527,0.0033699752227347233,0.9209893507385778,0.9893507385778083,0.9209893507385778
seed_5,0.047640777025685324,0.0476407740567147,3.1794006300950854e-09,0.08590826091181572,0.0006382155514631596,0.9103400890297269,0.9893507385778083,0.9103400890297269

mean,0.06066592410206795,0.0606658048927784,1.1971782498676475e-07,0.09001414477825165,0.009041901677846909,0.9178975820541382,0.9893506765365601,0.9178975820541382
std,0.01817859709262848,0.01817840337753296,2.1790887672068493e-07,0.009525722824037075,0.01386738196015358,0.005422903690487146,5.960464477539063e-08,0.005422903690487146
