seed,loss_total,loss_speed,loss_direction,speed_mae,direction_angle_deg,speed_accuracy,direction_accuracy,joint_accuracy
seed_1,0.02837185528803121,0.013173203382613932,0.015198651796455557,0.036815795567634695,3.061023400681614,0.9750871948181365,0.9609883990998166,0.9479322374074923
seed_2,0.02790433162146753,0.013099783604842688,0.014804548073947935,0.03018305154343743,3.383389215179504,0.974090682610862,0.9672015563848901,0.9511709020811346
seed_3,0.033758765392564144,0.012184137881139045,0.021574627736135093,0.02885814345296515,3.575318266161057,0.9758345789735924,0.964361588011705,0.9491778777259823
seed_4,0.024144422440169223,0.011981204839824807,0.01216321740731946,0.030315508822830208,2.8389393754663548,0.9775784753363229,0.971193048807894,0.9561534631175073
seed_5,0.02580233799817071,0.012922682932983596,0.01287965464749567,0.035686998518103086,2.7254144158242175,0.9750871948181365,0.9690257856723499,0.9529147984438651

mean,0.02799634262919426,0.012672202661633492,0.015324139967560768,0.03237190097570419,3.116816997528076,0.9755355715751648,0.9665540456771851,0.9514697790145874
std,0.0032559470273554325,0.0004923926899209619,0.003326297039166093,0.0032281382009387016,0.3208766281604767,0.0011621208395808935,0.003573024645447731,0.0028941722121089697
