seed,loss_total,loss_speed,loss_direction,speed_mae,direction_angle_deg,speed_accuracy,direction_accuracy,joint_accuracy
seed_1,0.00987846792134131,0.009875342994096823,3.1249263205580297e-06,0.04811593434876866,0.1117176033467764,0.9751984126984127,0.9999999962155781,0.9751984126984127
seed_2,0.009775513573364902,0.009773414814844728,2.098781186261823e-06,0.05018209255049153,0.08937865424723852,0.9722222222222222,0.9999999962155781,0.9722222222222222
seed_3,0.009017666424846365,0.009014543095078792,3.1233295798994644e-06,0.04128399798794398,0.10614864173389617,0.9821428571428571,0.9999999962155781,0.9821428571428571
seed_4,0.011223012635546472,0.011221042725689282,1.9699316128805677e-06,0.060792832979045454,0.08322891510195202,0.9662698412698413,0.9999999962155781,0.9662698412698413
seed_5,0.009028632094019226,0.009022497398305743,6.134656966120626e-06,0.04760145632520554,0.15493710072977201,0.9791666666666666,0.9999999962155781,0.9791666666666666

mean,0.009784659370779991,0.0097813680768013,3.2903251394600375e-06,0.04959526285529137,0.1090821847319603,0.9750000238418579,1.0,0.9750000238418579
std,0.0008046860457397997,0.0008056628284975886,1.5039071286082617e-06,0.0063398852944374084,0.025198591873049736,0.005520014092326164,0.0,0.005520014092326164
